category, description 
Khác,Tiền thuê nhà
Khác,Điện nước hàng tháng
Khác,Bảo hiểm y tế
Khác,Phí internet wifi
Khác,Thuê thợ sửa nhà
Khác,Sửa chữa điện thoại
Khác,Cắt tóc gội đầu
Khác,Khám bác sĩ
Khác,Mua thuốc kê đơn
Khác,Gửi tiền về nhà
Khác,Phí ngân hàng
Khác,Taxi Grab về
Khác,Rửa xe máy
Khác,Photocopy giấy tờ
Khác,Phí đăng kiểm xe
Khác,Mua bảo hiểm xe
Khác,Sửa máy tính
Khác,Thay màn hình điện thoại
Khác,Đóng tiền điện
Khác,Đóng tiền nước
Khác,Phí quản lý chung cư
Khác,Gửi hàng chuyển phát
Khác,Phí rút tiền ATM
Khác,Bảo dưỡng xe máy
Khác,Thay nhớt xe
Khác,Sửa chữa nhà cửa
Khác,Thuê thợ sửa
Khác,Mua dụng cụ sửa
Khác,Phí làm giấy tờ
Khác,Lệ phí hành chính
Khác,Tiền tip nhân viên
Khác,Cho vay bạn bè
Khác,Trả nợ ngân hàng
Khác,Lãi suất thẻ tín dụng
Khác,Phí chuyển khoản
Khác,Thuê xe tải
Khác,Phí gửi xe tháng
Khác,Thuê tủ locker
Khác,Chi phí hội nhóm
Khác,Tiền thăm quan bảo tàng
Khác,Chi phí học kỹ năng
Khác,Đóng học phí online
Khác,Chi phí khám sức khỏe định kỳ
Khác,Tiêm phòng vaccine
Khác,Khám nha sĩ
Khác,Lấy cao răng
Khác,Nhổ răng khôn
Khác,Phẫu thuật nhỏ
Khác,Mua thuốc bổ vitamin
Khác,Khám mắt định kỳ
Khác,Khám sức khỏe răng miệng
Khác,Khám sức khỏe tim mạch
Khác,Tham gia hiến máu
Khác,Khám sức khỏe thể thao
Khác,Khám sức khỏe tổng quát
Khác,Siêu âm định kỳ
Khác,Xét nghiệm máu
Khác,Xét nghiệm nước tiểu
Khác,Khám tim mạch
Khác,Khám hô hấp
Khác,Khám nội khoa
Khác,Khám da liễu
Khác,Khám thần kinh
Khác,Khám nhi khoa
Khác,Khám phụ khoa
Khác,Khám nam khoa
Khác,Khám tai mũi họng
Khác,Khám răng định kỳ
Khác,Khám mắt
Khác,Khám nha khoa thẩm mỹ
Khác,Tiêm vaccine phòng bệnh
Khác,Tiêm ngừa cúm
Khác,Tiêm ngừa thủy đậu
Khác,Tiêm ngừa viêm gan
Khác,Tiêm ngừa HPV
Khác,Tiêm ngừa uốn ván
Khác,Tiêm ngừa sởi
Khác,Tiêm ngừa quai bị
Khác,Tiêm ngừa rubella
Khác,Tiêm ngừa bạch hầu
Khác,Tiêm ngừa bại liệt
Khác,Tiêm ngừa ho gà
Khác,Khám sức khỏe định kỳ nhân viên
Khác,Khám sức khỏe cho trẻ em
Khác,Khám sức khỏe học sinh
Khác,Khám sức khỏe sinh viên
Khác,Khám sức khỏe lao động
Khác,Khám sức khỏe lái xe
Khác,Khám sức khỏe thể thao
Khác,Khám sức khỏe trước phẫu thuật
Khác,Khám sức khỏe sau phẫu thuật
Khác,Khám sức khỏe định kỳ người già
Khác,Khám sức khỏe miễn phí
Khác,Khám sức khỏe sức đề kháng
Khác,Khám sức khỏe dinh dưỡng
Khác,Khám sức khỏe thai kỳ
